0	0	1010	4
0	1	00	3
0	2	01	4
0	3	100	6
0	4	1011	8
0	5	11010	10
0	6	1111000	12
0	7	11111000	14
0	8	1111110110	18
0	9	1111111110000010	25
0	A	1111111110000011	26
1	1	1100	5
1	2	11011	8
1	3	1111001	10
1	4	111110110	13
1	5	11111110110	16
1	6	1111111110000100	22
1	7	1111111110000101	23
1	8	1111111110000110	24
1	9	1111111110000111	25
1	A	1111111110001000	26
2	1	11100	6
2	2	11111001	10
2	3	1111110111	13
2	4	111111110100	20
2	5	1111111110001001	21
2	6	1111111110001010	22
2	7	1111111110001011	23
2	8	1111111110001100	24
2	9	1111111110001101	25
2	A	1111111110001110	26
3	1	111010	7
3	2	111110111	11
3	3	111111110101	14
3	4	1111111110001111	20
3	5	1111111110010000	21
3	6	1111111110010001	22
3	7	1111111110010010	23
3	8	1111111110010011	24
3	9	1111111110010100	25
3	A	1111111110010101	26
4	1	111011	7
4	2	1111111000	12
4	3	1111111110010110	19
4	4	1111111110010111	20
4	5	1111111110011000	21
4	6	1111111110011001	22
4	7	1111111110011010	23
4	8	1111111110011011	24
4	9	1111111110011100	25
4	A	1111111110011101	26
5	1	1111010	8
5	2	11111110111	12
5	3	1111111110011110	19
5	4	1111111110011111	20
5	5	1111111110100000	21
5	6	1111111110100001	22
5	7	1111111110100010	23
5	8	1111111110100011	24
5	9	1111111110100100	25
5	A	1111111110100101	26
6	1	1111011	8
6	2	111111110110	13
6	3	1111111110100110	19
6	4	1111111110100111	20
6	5	1111111110101000	21
6	6	1111111110101001	22
6	7	1111111110101010	23
6	8	1111111110101011	24
6	9	1111111110101100	25
6	A	1111111110101101	26
7	1	11111010	9
7	2	111111110111	13
7	3	1111111110101110	19
7	4	1111111110101111	20
7	5	1111111110110000	21
7	6	1111111110110001	22
7	7	1111111110110010	23
7	8	1111111110110011	24
7	9	1111111110110100	25
7	A	1111111110110101	26
8	1	111111000	9
8	2	111111111000000	17
8	3	1111111110110110	19
8	4	1111111110110111	20
8	5	1111111110111000	21
8	6	1111111110111001	22
8	7	1111111110111010	23
8	8	1111111110111011	24
8	9	1111111110111100	25
8	A	1111111110111101	26
9	1	111111001	10
9	2	1111111110111110	18
9	3	1111111110111111	19
9	4	1111111111000000	20
9	5	1111111111000001	21
9	6	1111111111000010	22
9	7	1111111111000011	23
9	8	1111111111000100	24
9	9	1111111111000101	25
9	A	1111111111000110	26
A	1	111111010	10
A	2	1111111111000111	18
A	3	1111111111001000	19
A	4	1111111111001001	20
A	5	1111111111001010	21
A	6	1111111111001011	22
A	7	1111111111001100	23
A	8	1111111111001101	24
A	9	1111111111001110	25
A	A	1111111111001111	26
B	1	1111111001	10
B	2	1111111111010000	18
B	3	1111111111010001	19
B	4	1111111111010010	20
B	5	1111111111010011	21
B	6	1111111111010100	22
B	7	1111111111010101	23
B	8	1111111111010110	24
B	9	1111111111010111	25
B	A	1111111111011000	26
C	1	1111111010	11
C	2	1111111111011001	18
C	3	1111111111011010	19
C	4	1111111111011011	20
C	5	1111111111011100	21
C	6	1111111111011101	22
C	7	1111111111011110	23
C	8	1111111111011111	24
C	9	1111111111100000	25
C	A	1111111111100001	26
D	1	11111111000	12
D	2	1111111111100010	18
D	3	1111111111100011	19
D	4	1111111111100100	20
D	5	1111111111100101	21
D	6	1111111111100110	22
D	7	1111111111100111	23
D	8	1111111111101000	24
D	9	1111111111101001	25
D	A	1111111111101010	26
E	1	1111111111101011	13
E	2	1111111111101100	18
E	3	1111111111101101	19
E	4	1111111111101110	20
E	5	1111111111101111	21
E	6	1111111111110000	22
E	7	1111111111110001	23
E	8	1111111111110010	24
E	9	1111111111110011	25
E	A	1111111111110100	26
F	0	11111111001	12
F	1	1111111111110101	17
F	2	1111111111110110	18
F	3	1111111111110111	19
F	4	1111111111111000	20
F	5	1111111111111001	21
F	6	1111111111111010	22
F	7	1111111111111011	23
F	8	1111111111111100	24
F	9	1111111111111101	25
F	A	1111111111111110	26
